model,dataset,accuracy,balanced_accuracy,n_trials,n_channels,n_samples,dataset_notes,error
fbcsp_lda_S02.joblib,S15,0.650000,0.650000,40,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S21,0.450000,0.450000,40,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,raw_012_4s,0.493750,0.493750,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S02.joblib,raw_012_3s,0.506250,0.506250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S02.joblib,raw_034_3s,0.443750,0.443750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S02.joblib,S02_combined_npz,0.700000,0.700000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S03.joblib,S02,0.493750,0.493750,160,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S11,0.440000,0.440000,50,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S12_U,0.550000,0.550000,20,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S14_U,0.650000,0.650000,20,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S15,0.625000,0.625000,40,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S20,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S21,0.625000,0.625000,40,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,raw_012_4s,0.556250,0.556250,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S03.joblib,raw_012_3s,0.525000,0.525000,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S03.joblib,raw_034_3s,0.662500,0.662500,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S03.joblib,S02_combined_npz,0.493750,0.493750,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S04.joblib,S02,0.456250,0.456250,160,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,S11,0.440000,0.440000,50,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,S12_U,0.550000,0.550000,20,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,S14_U,0.450000,0.450000,20,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,S15,0.600000,0.600000,40,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,S20,0.350000,0.350000,40,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,S21,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_S04.joblib,raw_012_4s,0.468750,0.468750,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S04.joblib,raw_012_3s,0.450000,0.450000,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S04.joblib,raw_034_3s,0.506250,0.506250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S04.joblib,S02_combined_npz,0.456250,0.456250,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S05.joblib,S02,0.518750,0.518750,160,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,S11,0.560000,0.560000,50,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,S12_U,0.350000,0.350000,20,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,S14_U,0.300000,0.300000,20,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,S15,0.375000,0.375000,40,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,S20,0.575000,0.575000,40,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,S21,0.475000,0.475000,40,3,2000,subject epoch/label files,
fbcsp_lda_S05.joblib,raw_012_4s,0.425000,0.425000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S05.joblib,raw_012_3s,0.431250,0.431250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S05.joblib,raw_034_3s,0.356250,0.356250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S05.joblib,S02_combined_npz,0.518750,0.518750,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S06 (1).joblib,S02,0.487500,0.487500,160,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,S11,0.480000,0.480000,50,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,S12_U,0.450000,0.450000,20,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,S14_U,0.300000,0.300000,20,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,S15,0.225000,0.225000,40,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,S21,0.450000,0.450000,40,3,2000,subject epoch/label files,
fbcsp_lda_S06 (1).joblib,raw_012_4s,0.637500,0.637500,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S06 (1).joblib,raw_012_3s,0.631250,0.631250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S06 (1).joblib,raw_034_3s,0.493750,0.493750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S06 (1).joblib,S02_combined_npz,0.487500,0.487500,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S06.joblib,S02,0.487500,0.487500,160,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,S11,0.480000,0.480000,50,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,S12_U,0.450000,0.450000,20,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,S14_U,0.300000,0.300000,20,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,S15,0.225000,0.225000,40,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,S21,0.450000,0.450000,40,3,2000,subject epoch/label files,
fbcsp_lda_S06.joblib,raw_012_4s,0.637500,0.637500,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S06.joblib,raw_012_3s,0.631250,0.631250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S06.joblib,raw_034_3s,0.493750,0.493750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S06.joblib,S02_combined_npz,0.487500,0.487500,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S07.joblib,S02,0.450000,0.450000,160,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,S11,0.460000,0.460000,50,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,S12_U,0.550000,0.550000,20,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,S14_U,0.550000,0.550000,20,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,S15,0.675000,0.675000,40,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,S20,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,S21,0.625000,0.625000,40,3,2000,subject epoch/label files,
fbcsp_lda_S07.joblib,raw_012_4s,0.612500,0.612500,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S07.joblib,raw_012_3s,0.631250,0.631250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S07.joblib,raw_034_3s,0.493750,0.493750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S07.joblib,S02_combined_npz,0.450000,0.450000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S08.joblib,S02,0.500000,0.500000,160,3,2000,subject epoch/label files,
fbcsp_lda_S08.joblib,S11,0.480000,0.480000,50,3,2000,subject epoch/label files,
fbcsp_lda_S08.joblib,S12_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
